Consumer;Product;Informed.liking;Information;Gender;Age
12;4;8;1;2;31
12;4;8;2;2;31
13;1;8;1;2;53
13;1;8;2;2;53
13;2;1;1;2;53
13;2;1;2;2;53
13;3;6;1;2;53
13;3;5;2;2;53
13;4;8;1;2;53
13;4;8;2;2;53
14;1;9;1;2;42
14;1;8;2;2;42
14;2;1;1;2;42
14;2;1;2;2;42
14;3;3;1;2;42
14;3;4;2;2;42
14;4;7;1;2;42
14;4;5;2;2;42
15;1;4;1;1;33
15;1;5;2;1;33
15;2;6;1;1;33
15;2;7;2;1;33
15;3;7;1;1;33
15;3;7;2;1;33
15;4;7;1;1;33
15;4;8;2;1;33
16;1;7;1;2;55
16;1;2;2;2;55
16;2;1;1;2;55
16;2;1;2;2;55
16;3;5;1;2;55
16;3;7;2;2;55
16;4;5;1;2;55
16;4;8;2;2;55
17;1;7;1;1;35
17;1;8;2;1;35
17;2;5;1;1;35
17;2;5;2;1;35
17;3;7;1;1;35
17;3;8;2;1;35
17;4;4;1;1;35
17;4;3;2;1;35
18;1;9;1;1;54
18;1;7;2;1;54
18;2;3;1;1;54
18;2;2;2;1;54
18;3;6;1;1;54
18;3;6;2;1;54
18;4;7;1;1;54
18;4;8;2;1;54
19;1;9;1;1;50
19;1;9;2;1;50
19;2;1;1;1;50
19;2;1;2;1;50
19;3;1;1;1;50
19;3;1;2;1;50
19;4;5;1;1;50
19;4;5;2;1;50
20;1;7;1;1;59
20;1;7;2;1;59
20;2;2;1;1;59
20;2;2;2;1;59
20;3;7;1;1;59
20;3;8;2;1;59
20;4;6;1;1;59
20;4;4;2;1;59
21;1;7;1;1;38
21;1;7;2;1;38
21;2;1;1;1;38
21;2;2;2;1;38
21;3;4;1;1;38
21;3;3;2;1;38
21;4;4;1;1;38
21;4;5;2;1;38
22;1;8;1;2;36
22;1;4;2;2;36
22;2;1;1;2;36
22;2;1;2;2;36
22;3;5;1;2;36
22;3;2;2;2;36
22;4;4;1;2;36
22;4;3;2;2;36
23;1;7;1;2;44
23;1;6;2;2;44
23;2;1;1;2;44
23;2;1;2;2;44
23;3;2;1;2;44
23;3;2;2;2;44
23;4;5;1;2;44
23;4;2;2;2;44
24;1;8;1;1;54
24;1;8;2;1;54
24;2;7;1;1;54
24;2;7;2;1;54
24;3;9;1;1;54
24;3;8;2;1;54
24;4;7;1;1;54
24;4;8;2;1;54
25;1;5;1;1;50
25;1;5;2;1;50
25;2;6;1;1;50
25;2;7;2;1;50
25;3;6;1;1;50
25;3;7;2;1;50
25;4;7;1;1;50
25;4;8;2;1;50
26;1;8;1;2;45
26;1;7;2;2;45
26;2;1;1;2;45
26;2;1;2;2;45
26;3;6;1;2;45
26;3;8;2;2;45
26;4;6;1;2;45
26;4;3;2;2;45
29;1;1;1;2;48
29;1;8;2;2;48
29;2;1;1;2;48
29;2;1;2;2;48
29;3;7;1;2;48
29;3;7;2;2;48
29;4;1;1;2;48
29;4;2;2;2;48
30;1;6;1;2;45
30;1;6;2;2;45
30;2;8;1;2;45
30;2;7;2;2;45
30;3;6;1;2;45
30;3;7;2;2;45
30;4;7;1;2;45
30;4;6;2;2;45
31;1;6;1;1;45
31;1;7;2;1;45
31;2;8;1;1;45
31;2;7;2;1;45
31;3;8;1;1;45
31;3;7;2;1;45
31;4;8;1;1;45
31;4;8;2;1;45
32;1;8;1;2;41
32;1;8;2;2;41
32;2;4;1;2;41
32;2;5;2;2;41
32;3;8;1;2;41
32;3;8;2;2;41
32;4;5;1;2;41
32;4;7;2;2;41
33;1;3;1;1;43
33;1;5;2;1;43
33;2;1;1;1;43
33;2;1;2;1;43
33;3;1;1;1;43
33;3;3;2;1;43
33;4;6;1;1;43
33;4;2;2;1;43
34;1;4;1;1;44
34;1;5;2;1;44
34;2;6;1;1;44
34;2;7;2;1;44
34;3;7;1;1;44
34;3;6;2;1;44
34;4;7;1;1;44
34;4;8;2;1;44
35;1;5;1;2;47
35;1;8;2;2;47
35;2;3;1;2;47
35;2;5;2;2;47
35;3;5;1;2;47
35;3;8;2;2;47
35;4;7;1;2;47
35;4;7;2;2;47
36;1;6;1;2;35
36;1;6;2;2;35
36;2;8;1;2;35
36;2;9;2;2;35
36;3;7;1;2;35
36;3;7;2;2;35
36;4;8;1;2;35
36;4;6;2;2;35
37;1;2;1;1;40
37;1;4;2;1;40
37;2;6;1;1;40
37;2;7;2;1;40
37;3;8;1;1;40
37;3;7;2;1;40
37;4;5;1;1;40
37;4;6;2;1;40
38;1;7;1;1;45
38;1;6;2;1;45
38;2;4;1;1;45
38;2;4;2;1;45
38;3;5;1;1;45
38;3;3;2;1;45
38;4;5;1;1;45
38;4;4;2;1;45
39;1;6;1;1;58
39;1;8;2;1;58
39;2;6;1;1;58
39;2;8;2;1;58
39;3;5;1;1;58
39;3;7;2;1;58
39;4;4;1;1;58
39;4;4;2;1;58
40;1;1;1;2;40
40;1;5;2;2;40
40;2;2;1;2;40
40;2;3;2;2;40
40;3;8;1;2;40
40;3;8;2;2;40
40;4;9;1;2;40
40;4;7;2;2;40
41;1;6;1;1;51
41;1;6;2;1;51
41;2;4;1;1;51
41;2;5;2;1;51
41;3;6;1;1;51
41;3;5;2;1;51
41;4;5;1;1;51
41;4;4;2;1;51
42;1;5;1;1;54
42;1;6;2;1;54
42;2;6;1;1;54
42;2;7;2;1;54
42;3;7;1;1;54
42;3;8;2;1;54
42;4;8;1;1;54
42;4;9;2;1;54
43;1;8;1;1;44
43;1;7;2;1;44
43;2;5;1;1;44
43;2;2;2;1;44
43;3;7;1;1;44
43;3;8;2;1;44
43;4;6;1;1;44
43;4;5;2;1;44
44;1;4;1;2;56
44;1;8;2;2;56
44;2;3;1;2;56
44;2;5;2;2;56
44;3;4;1;2;56
44;3;4;2;2;56
44;4;2;1;2;56
44;4;2;2;2;56
45;1;9;1;2;32
45;1;9;2;2;32
45;2;3;1;2;32
45;2;6;2;2;32
45;3;2;1;2;32
45;3;2;2;2;32
45;4;6;1;2;32
45;4;4;2;2;32
46;1;7;1;1;62
46;1;3;2;1;62
46;2;9;1;1;62
46;2;8;2;1;62
46;3;3;1;1;62
46;3;8;2;1;62
46;4;1;1;1;62
46;4;1;2;1;62
47;1;1;1;2;62
47;1;1;2;2;62
47;2;9;1;2;62
47;2;1;2;2;62
47;3;7;1;2;62
47;3;5;2;2;62
47;4;1;1;2;62
47;4;1;2;2;62
48;1;7;1;2;41
48;1;7;2;2;41
48;2;1;1;2;41
48;2;1;2;2;41
48;3;5;1;2;41
48;3;6;2;2;41
48;4;6;1;2;41
48;4;6;2;2;41
49;1;3;1;1;67
49;1;3;2;1;67
49;2;6;1;1;67
49;2;8;2;1;67
49;3;6;1;1;67
49;3;8;2;1;67
49;4;7;1;1;67
49;4;8;2;1;67
50;1;3;1;2;42
50;1;2;2;2;42
50;2;7;1;2;42
50;2;8;2;2;42
50;3;9;1;2;42
50;3;9;2;2;42
50;4;6;1;2;42
50;4;7;2;2;42
51;1;5;1;2;48
51;1;7;2;2;48
51;2;7;1;2;48
51;2;9;2;2;48
51;3;9;1;2;48
51;3;9;2;2;48
51;4;9;1;2;48
51;4;9;2;2;48
52;1;9;1;2;39
52;1;9;2;2;39
52;2;5;1;2;39
52;2;5;2;2;39
52;3;6;1;2;39
52;3;7;2;2;39
52;4;3;1;2;39
52;4;4;2;2;39
53;1;5;1;1;55
53;1;5;2;1;55
53;2;9;1;1;55
53;2;7;2;1;55
53;3;5;1;1;55
53;3;5;2;1;55
53;4;8;1;1;55
53;4;7;2;1;55
54;1;3;1;2;61
54;1;3;2;2;61
54;2;7;1;2;61
54;2;8;2;2;61
54;3;7;1;2;61
54;3;8;2;2;61
54;4;8;1;2;61
54;4;8;2;2;61
55;1;6;1;1;61
55;1;3;2;1;61
55;2;2;1;1;61
55;2;7;2;1;61
55;3;8;1;1;61
55;3;6;2;1;61
55;4;3;1;1;61
55;4;8;2;1;61
56;1;6;1;2;46
56;1;7;2;2;46
56;2;6;1;2;46
56;2;7;2;2;46
56;3;3;1;2;46
56;3;4;2;2;46
56;4;2;1;2;46
56;4;2;2;2;46
57;1;5;1;1;64
57;1;5;2;1;64
57;2;6;1;1;64
57;2;7;2;1;64
57;3;6;1;1;64
57;3;9;2;1;64
57;4;7;1;1;64
57;4;8;2;1;64
58;1;6;1;1;64
58;1;5;2;1;64
58;2;8;1;1;64
58;2;9;2;1;64
58;3;7;1;1;64
58;3;9;2;1;64
58;4;8;1;1;64
58;4;8;2;1;64
59;1;5;1;1;32
59;1;6;2;1;32
59;2;7;1;1;32
59;2;9;2;1;32
59;3;9;1;1;32
59;3;8;2;1;32
59;4;7;1;1;32
59;4;6;2;1;32
60;1;6;1;1;45
60;1;5;2;1;45
60;2;5;1;1;45
60;2;4;2;1;45
60;3;6;1;1;45
60;3;4;2;1;45
60;4;6;1;1;45
60;4;3;2;1;45
61;1;8;1;1;30
61;1;7;2;1;30
61;2;4;1;1;30
61;2;4;2;1;30
61;3;5;1;1;30
61;3;5;2;1;30
61;4;7;1;1;30
61;4;6;2;1;30
62;1;5;1;2;58
62;1;5;2;2;58
62;2;8;1;2;58
62;2;9;2;2;58
62;3;9;1;2;58
62;3;8;2;2;58
62;4;9;1;2;58
62;4;8;2;2;58
63;1;6;1;2;42
63;1;5;2;2;42
63;2;8;1;2;42
63;2;7;2;2;42
63;3;5;1;2;42
63;3;7;2;2;42
63;4;6;1;2;42
63;4;5;2;2;42
64;1;6;1;2;44
64;1;3;2;2;44
64;2;8;1;2;44
64;2;7;2;2;44
64;3;6;1;2;44
64;3;7;2;2;44
64;4;6;1;2;44
64;4;5;2;2;44
65;1;8;1;1;48
65;1;8;2;1;48
65;2;3;1;1;48
65;2;4;2;1;48
65;3;4;1;1;48
65;3;3;2;1;48
65;4;3;1;1;48
65;4;3;2;1;48
66;1;5;1;2;70
66;1;7;2;2;70
66;2;7;1;2;70
66;2;3;2;2;70
66;3;1;1;2;70
66;3;6;2;2;70
66;4;8;1;2;70
66;4;4;2;2;70
67;1;6;1;1;64
67;1;6;2;1;64
67;2;8;1;1;64
67;2;7;2;1;64
67;3;8;1;1;64
67;3;7;2;1;64
67;4;6;1;1;64
67;4;7;2;1;64
68;1;9;1;2;60
68;1;6;2;2;60
68;2;2;1;2;60
68;2;3;2;2;60
68;3;1;1;2;60
68;3;1;2;2;60
68;4;8;1;2;60
68;4;3;2;2;60
69;1;4;1;2;36
69;1;5;2;2;36
69;2;7;1;2;36
69;2;7;2;2;36
69;3;6;1;2;36
69;3;8;2;2;36
69;4;7;1;2;36
69;4;7;2;2;36
70;1;6;1;2;36
70;1;7;2;2;36
70;2;2;1;2;36
70;2;4;2;2;36
70;3;3;1;2;36
70;3;2;2;2;36
70;4;6;1;2;36
70;4;8;2;2;36
71;1;7;1;1;34
71;1;3;2;1;34
71;2;7;1;1;34
71;2;8;2;1;34
71;3;9;1;1;34
71;3;9;2;1;34
71;4;5;1;1;34
71;4;5;2;1;34
73;1;1;1;2;43
73;1;3;2;2;43
73;2;9;1;2;43
73;2;9;2;2;43
73;3;9;1;2;43
73;3;9;2;2;43
73;4;6;1;2;43
73;4;6;2;2;43
74;1;6;1;2;44
74;1;7;2;2;44
74;2;5;1;2;44
74;2;7;2;2;44
74;3;9;1;2;44
74;3;9;2;2;44
74;4;9;1;2;44
74;4;9;2;2;44
75;1;4;1;1;50
75;1;5;2;1;50
75;2;9;1;1;50
75;2;9;2;1;50
75;3;3;1;1;50
75;3;3;2;1;50
75;4;8;1;1;50
75;4;8;2;1;50
76;1;2;1;2;38
76;1;7;2;2;38
76;2;7;1;2;38
76;2;9;2;2;38
76;3;3;1;2;38
76;3;9;2;2;38
76;4;9;1;2;38
76;4;9;2;2;38
77;1;1;1;2;42
77;1;4;2;2;42
77;2;7;1;2;42
77;2;9;2;2;42
77;3;7;1;2;42
77;3;7;2;2;42
77;4;9;1;2;42
77;4;9;2;2;42
78;1;6;1;1;38
78;1;4;2;1;38
78;2;4;1;1;38
78;2;7;2;1;38
78;3;9;1;1;38
78;3;9;2;1;38
78;4;8;1;1;38
78;4;8;2;1;38
79;1;7;1;2;38
79;1;8;2;2;38
79;2;7;1;2;38
79;2;7;2;2;38
79;3;4;1;2;38
79;3;4;2;2;38
79;4;6;1;2;38
79;4;6;2;2;38
80;1;7;1;2;37
80;1;8;2;2;37
80;2;8;1;2;37
80;2;5;2;2;37
80;3;4;1;2;37
80;3;1;2;2;37
80;4;3;1;2;37
80;4;4;2;2;37
81;1;6;1;1;52
81;1;6;2;1;52
81;2;3;1;1;52
81;2;3;2;1;52
81;3;3;1;1;52
81;3;4;2;1;52
81;4;3;1;1;52
81;4;6;2;1;52
82;1;9;1;2;47
82;1;5;2;2;47
82;2;9;1;2;47
82;2;8;2;2;47
82;3;9;1;2;47
82;3;7;2;2;47
82;4;6;1;2;47
82;4;6;2;2;47
83;1;1;1;1;48
83;1;6;2;1;48
83;2;3;1;1;48
83;2;8;2;1;48
83;3;4;1;1;48
83;3;6;2;1;48
83;4;7;1;1;48
83;4;5;2;1;48
84;1;6;1;1;43
84;1;5;2;1;43
84;2;6;1;1;43
84;2;6;2;1;43
84;3;4;1;1;43
84;3;8;2;1;43
84;4;5;1;1;43
84;4;4;2;1;43
